40;10.0;4;1;1
40;23.0;4;3;1
40;10.0;4;1;0
40;23.0;4;3;0
60;6.0;5;1;1
60;14.0;5;5;1
60;15.0;5;10;1
60;15.0;5;1;0
60;20.0;5;5;0
60;30.0;5;10;0
80;4.0;6;1;1
80;9.0;6;5;1
80;11.0;6;10;1
80;22.0;6;1;0
80;24.0;6;5;0
80;27.0;6;10;0
100;5.0;7;1;1
100;10.0;7;5;1
100;13.0;7;10;1
100;22.0;7;1;0
100;23.0;7;5;0
100;29.0;7;10;0
150;7.0;8;1;1
150;10.0;8;5;1
150;12.0;8;10;1
150;23.0;8;1;0
150;23.0;8;5;0
150;28.0;8;10;0
40;10.0;12;1;1
40;18.0;12;2;1
40;10.0;12;1;0
40;18.0;12;2;0
60;7.0;13;1;1
60;14.0;13;5;1
60;18.0;13;10;1
60;20.0;13;1;0
60;23.0;13;5;0
60;26.0;13;10;0
80;7.0;14;1;1
80;11.0;14;5;1
80;13.0;14;10;1
80;20.0;14;1;0
80;22.0;14;5;0
80;30.0;14;10;0
100;6.0;15;1;1
100;10.0;15;5;1
100;11.0;15;10;1
100;21.0;15;1;0
100;24.0;15;5;0
100;28.0;15;10;0
150;3.0;16;1;1
150;8.0;16;5;1
150;9.0;16;10;1
150;23.0;16;1;0
150;24.0;16;5;0
150;27.0;16;10;0
60;13.0;21;1;1
60;16.0;21;5;1
60;18.0;21;10;1
60;18.0;21;1;0
60;20.0;21;5;0
60;27.0;21;10;0
80;7.0;22;1;1
80;12.0;22;5;1
80;13.0;22;10;1
80;20.0;22;1;0
80;22.0;22;5;0
80;25.0;22;10;0
100;3.0;23;1;1
100;9.0;23;5;1
100;10.0;23;10;1
100;23.0;23;1;0
100;25.0;23;5;0
100;29.0;23;10;0
150;3.0;24;1;1
150;7.0;24;5;1
150;10.0;24;10;1
150;24.0;24;1;0
150;26.0;24;5;0
150;31.0;24;10;0
40;11.0;28;1;1
40;25.0;28;4;1
40;11.0;28;1;0
40;25.0;28;4;0
60;10.0;29;1;1
60;13.0;29;5;1
60;17.0;29;10;1
60;19.0;29;1;0
60;22.0;29;5;0
60;27.0;29;10;0
80;8.0;30;1;1
80;13.0;30;5;1
80;14.0;30;10;1
80;22.0;30;1;0
80;24.0;30;5;0
80;30.0;30;10;0
100;3.0;31;1;1
100;10.0;31;5;1
100;12.0;31;10;1
100;23.0;31;1;0
100;25.0;31;5;0
100;26.0;31;10;0
150;3.0;32;1;1
150;8.0;32;5;1
150;10.0;32;10;1
150;23.0;32;1;0
150;24.0;32;5;0
150;30.0;32;10;0
40;28.0;36;1;1
40;28.0;36;1;1
40;28.0;36;1;0
40;28.0;36;1;0
60;7.0;37;1;1
60;16.0;37;5;1
60;19.0;37;10;1
60;21.0;37;1;0
60;23.0;37;5;0
60;25.0;37;10;0
80;7.0;38;1;1
80;10.0;38;5;1
80;14.0;38;10;1
80;20.0;38;1;0
80;22.0;38;5;0
80;27.0;38;10;0
100;5.0;39;1;1
100;10.0;39;5;1
100;12.0;39;10;1
100;22.0;39;1;0
100;22.0;39;5;0
100;30.0;39;10;0
150;3.0;40;1;1
150;8.0;40;5;1
150;9.0;40;10;1
150;22.0;40;1;0
150;22.0;40;5;0
150;25.0;40;10;0
80;16.0;46;1;1
80;19.0;46;3;1
80;16.0;46;1;0
80;19.0;46;3;0
100;14.0;47;1;1
100;19.0;47;5;1
100;21.0;47;10;1
100;19.0;47;1;0
100;20.0;47;5;0
100;26.0;47;10;0
150;7.0;48;1;1
150;12.0;48;5;1
150;15.0;48;10;1
150;20.0;48;1;0
150;22.0;48;5;0
150;28.0;48;10;0
40;8.0;52;1;1
40;22.0;52;4;1
40;8.0;52;1;0
40;22.0;52;4;0
60;4.0;53;1;1
60;9.0;53;5;1
60;12.0;53;10;1
60;15.0;53;1;0
60;17.0;53;5;0
60;19.0;53;10;0
80;4.0;54;1;1
80;8.0;54;5;1
80;10.0;54;10;1
80;18.0;54;1;0
80;20.0;54;5;0
80;34.0;54;10;0
100;6.0;55;1;1
100;7.0;55;5;1
100;10.0;55;10;1
100;19.0;55;1;0
100;21.0;55;5;0
