dilation,score,better_than,total
pix_dilate,accuracy,27,46
dilate_pix,accuracy,17,46
dilate_dilate,accuracy,15,46
pix_dilate,precision,27,46
dilate_pix,precision,17,46
dilate_dilate,precision,19,46
pix_dilate,recall,37,46
dilate_pix,recall,35,46
dilate_dilate,recall,39,46
pix_dilate,f1,27,46
dilate_pix,f1,21,46
dilate_dilate,f1,23,46
