vertices_3;triangles_3;vertices_1;triangles_1
54264584;43088021;383139584;323461458
65944271;49337499;355945313;335217187
56360417;36888542;356587499;333959375
60413542;38135416;353385417;329573437
49078646;32748438;353805729;333272916
43717188;31031771;354172396;336576562
43720834;31690104;352746875;333317708
48680729;30994791;355780729;335855209
50390104;37080208;355224479;333782813
43923958;33767187;355963542;335121355
