vertices_3;triangles_3;vertices_1;triangles_1
21021875;22842187;180446354;219007812
20956250;23257292;178581771;227055729
21138021;23026563;178585937;227752604
20933854;23180209;177880209;225832291
20857292;23200521;178960937;226452604
20925000;22846875;178396875;225486459
21147916;23370833;180932291;225491146
20916145;23282812;180284375;227406771
20909896;23127083;178887500;225546354
21127084;23335416;181235416;225987500
