Mate50Pro;P30Pro;Mate20Lite
2221344999;3301045833;7579697915
2879393384;2629372396;9510129165
2759061197;2629372396;8856472916
3555395051;2409885937;13594509894
3368067707;2762179687;8444963020
2252140937;2753799479;14153388540
3117093488;2584564583;9888895832
2704561197;2549301562;10820560935
2648747916;3590149479;11188803123
2265441405;2658782291;14002451040
