Mate50Pro;P30Pro;Mate20Lite
2213910364;2321751562;11242026561
2883877655;2235207813;12413767707
2126478541;2266225000;7611991665
2288269217;2314870833;9331607290
2361533437;2467582291;11637921353
2349861562;2351725520;9093251561
2414862082;2404573958;8508285415
2130574426;2832640103;9110779165
2523302812;3015453645;9110779165
2075472291;2622548437;10719493228
