drop;vertices;triangles
;94261458;93901563
;102495312;95394792
;96234375;95219270
;93485416;89902083
;102017708;92329167
;94121875;89111459
;97393750;98225000
;99233333;97615625
;103298437;92478646
;97517187;93169792
