drop;vertices;triangles
;49491146;57026458
;49447343;60330677
;59783490;59883489
;58377396;60670573
;56948489;60265000
;47256667;54467604
;63210989;59244636
;55858906;58055052
;53866250;57804323
;55644740;58783281


