drop;vertices;triangles
;166426042;112776042
;172745312;127407813
;173248438;126572917
;174395312;127289584
;175292708;128009375
;175197916;126731250
;173218750;126185938
;173097916;125855729
;173541667;128106250
;173473958;126254166
