drop;vertices;triangles
1368229;14805729;16353125
1147395;11309375;12377604
990104;12182813;12146354
1963020;14953125;15855209
1913541;14722917;16479166
1741146;14907812;16638020
1950000;15201562;15920833
1965104;15047917;16216146
1722396;14838021;16676041
1943750;14997916;16166666

