drop;vertices;triangles
3325000;40695833;21806771
3198438;39377084;24570833
3304166;41276042;19686459
3357812;38848438;23898437
3237500;28950521;23699479
3368230;38921875;19614062
3298438;40720833;25682813
3268750;40254687;20755729
3278125;38835937;23601563
3390625;40011458;24034375
