offset,threshold,correct,max_matches,true_positive,false_positive,true_negative,false_negative,accuracy,precision,recall,f1_score,extra_info
150,0.9,10,109,109,269,0,0,0.288359788359788,0.288359788359788,1,0.447638603696099,brute;knn;orb;dilated_dilated
150,0.9,20,109,109,269,0,0,0.288359788359788,0.288359788359788,1,0.447638603696099,brute;knn;orb;dilated_dilated
200,0.9,10,109,109,269,0,0,0.288359788359788,0.288359788359788,1,0.447638603696099,brute;knn;orb;dilated_dilated
200,0.9,20,109,109,269,0,0,0.288359788359788,0.288359788359788,1,0.447638603696099,brute;knn;orb;dilated_dilated
200,0.75,10,152,97,226,55,0,0.402116402116402,0.30030959752322,1,0.461904761904762,brute;knn;orb;dilated_dilated
200,0.75,20,152,97,226,55,0,0.402116402116402,0.30030959752322,1,0.461904761904762,brute;knn;orb;dilated_dilated
300,0.9,10,99,99,279,0,0,0.261904761904762,0.261904761904762,1,0.415094339622642,brute;knn;orb;dilated_dilated
300,0.9,20,99,99,279,0,0,0.261904761904762,0.261904761904762,1,0.415094339622642,brute;knn;orb;dilated_dilated
300,0.75,10,119,94,259,25,0,0.314814814814815,0.26628895184136,1,0.420581655480984,brute;knn;orb;dilated_dilated
300,0.75,20,119,94,259,25,0,0.314814814814815,0.26628895184136,1,0.420581655480984,brute;knn;orb;dilated_dilated
400,0.9,10,91,91,287,0,0,0.240740740740741,0.240740740740741,1,0.388059701492537,brute;knn;orb;dilated_dilated
400,0.9,20,91,91,287,0,0,0.240740740740741,0.240740740740741,1,0.388059701492537,brute;knn;orb;dilated_dilated
400,0.75,10,125,89,253,36,0,0.330687830687831,0.260233918128655,1,0.412993039443155,brute;knn;orb;dilated_dilated
400,0.75,20,125,89,253,36,0,0.330687830687831,0.260233918128655,1,0.412993039443155,brute;knn;orb;dilated_dilated
500,0.9,10,82,82,296,0,0,0.216931216931217,0.216931216931217,1,0.356521739130435,brute;knn;orb;dilated_dilated
500,0.9,20,82,82,296,0,0,0.216931216931217,0.216931216931217,1,0.356521739130435,brute;knn;orb;dilated_dilated
500,0.75,10,125,93,253,32,0,0.330687830687831,0.26878612716763,1,0.423690205011389,brute;knn;orb;dilated_dilated
500,0.75,20,125,93,253,32,0,0.330687830687831,0.26878612716763,1,0.423690205011389,brute;knn;orb;dilated_dilated
