10;image_163004;Siroka;1;0.5590168833732605
20;image_163004;Siroka;1;0.5326235890388489
30;image_163004;Siroka;1;0.49372878670692444
40;image_163004;Siroka;1;0.46355047821998596
60;image_163004;Siroka;1;0.4175374209880829
80;image_163004;Siroka;1;0.4319254159927368
100;image_163004;Siroka;1;0.3622357249259949
150;image_163004;Siroka;0;0.37225696444511414
10;image_163004;Muran;1;0.5423260927200317
20;image_163004;Muran;0;0.42633435130119324
30;image_163004;Muran;1;0.4091866612434387
40;image_163004;Muran;1;0.41642239689826965
60;image_163004;Muran;1;0.42197468876838684
80;image_163004;Muran;1;0.4298071563243866
100;image_163004;Muran;1;0.435868501663208
150;image_163004;Muran;1;0.44226589798927307
10;image_163004;Lomnicky_stit;0;0.4972526729106903
20;image_163004;Lomnicky_stit;1;0.4332001209259033
30;image_163004;Lomnicky_stit;1;0.43624716997146606
40;image_163004;Lomnicky_stit;1;0.4499662518501282
60;image_163004;Lomnicky_stit;1;0.41366130113601685
80;image_163004;Lomnicky_stit;1;0.42243140935897827
100;image_163004;Lomnicky_stit;1;0.4254395365715027
150;image_163004;Lomnicky_stit;1;0.42530006170272827
10;image_163004;Ladovy_stit;0;0.45868247747421265
20;image_163004;Ladovy_stit;1;0.4358898997306824
30;image_163004;Ladovy_stit;1;0.43211591243743896
40;image_163004;Ladovy_stit;1;0.41046637296676636
60;image_163004;Ladovy_stit;1;0.4199470579624176
80;image_163004;Ladovy_stit;1;0.42279887199401855
100;image_163004;Ladovy_stit;1;0.4231453835964203
150;image_163004;Ladovy_stit;1;0.41364404559135437
10;image_163004;Jahnaci_stit;1;0.5307449102401733
20;image_163004;Jahnaci_stit;1;0.3975231945514679
30;image_163004;Jahnaci_stit;1;0.40167713165283203
40;image_163004;Jahnaci_stit;1;0.4025236964225769
60;image_163004;Jahnaci_stit;1;0.4101928770542145
80;image_163004;Jahnaci_stit;1;0.42845988273620605
100;image_163004;Jahnaci_stit;1;0.43668198585510254
150;image_163004;Jahnaci_stit;1;0.44265216588974
10;image_163004;Gerlachovsky_stit;0;0.5229578018188477
20;image_163004;Gerlachovsky_stit;0;0.43497276306152344
30;image_163004;Gerlachovsky_stit;0;0.3492150902748108
40;image_163004;Gerlachovsky_stit;0;0.29410654306411743
60;image_163004;Gerlachovsky_stit;0;0.3094263970851898
80;image_163004;Gerlachovsky_stit;0;0.3420102000236511
100;image_163004;Gerlachovsky_stit;0;0.35931074619293213
150;image_163004;Gerlachovsky_stit;0;0.3606060743331909
10;image_163004;Bujaci_vrch;0;0.5590168833732605
20;image_163004;Bujaci_vrch;0;0.5345224738121033
30;image_163004;Bujaci_vrch;1;0.5345224738121033
40;image_163004;Bujaci_vrch;1;0.5354795455932617
60;image_163004;Bujaci_vrch;1;0.42152461409568787
80;image_163004;Bujaci_vrch;1;0.37354370951652527
100;image_163004;Bujaci_vrch;1;0.33501195907592773
150;image_163004;Bujaci_vrch;1;0.2923159599304199
10;image_163004;Belianske_Tatry;1;0.5547001361846924
20;image_163004;Belianske_Tatry;1;0.5364416837692261
30;image_163004;Belianske_Tatry;1;0.5357996821403503
40;image_163004;Belianske_Tatry;1;0.5335705876350403
60;image_163004;Belianske_Tatry;1;0.5295034050941467
80;image_163004;Belianske_Tatry;1;0.455497145652771
100;image_163004;Belianske_Tatry;1;0.3830893337726593
