Mięguszowiecki Szczyt Wielki;49.18684;20.06005;MT;2438.0;2310
Kazalnica;49.18482;20.06983;PK;2159.0;2031
Mięguszowiecki Szczyt Czarny;49.18271;20.06769;MT;2409.0;2353
Hińczowa Turnia;49.18089;20.06966;MT;2376.0;2342
Wołowa Turnia;49.17923;20.0743;MT;2373.0;2321
Żabi Koń;49.1788;20.07977;MT;2291.0;2196
Niżnie Rysy;49.1837;20.08799;MT;2430.0;2304
Wyżni Żabi Szczyt;49.18779;20.0891;MT;2263.0;2204
Kościelec;49.22421;20.01503;PK;2155.0;2035
Zadni Kościelec;49.22306;20.01559;PK;2162.0;2019
Zawratowa Turnia;49.21988;20.01533;MT;2247.0;2155
Mały Kozi Wierch;49.21891;20.01994;PK;2228.0;2187
Kozi Wierch;49.21825;20.0286;PK;2291.0;2241
Zadni Granat;49.22218;20.03317;PK;2240.0;2158
Pośredni Granat;49.22511;20.03275;PK;2234.0;2207
Skrajny Granat;49.22654;20.03305;PK;2225.0;2200
Żółta Turnia;49.23443;20.029;PK;2087.0;2058
Wielka Kopka;49.23285;20.03936;PK;1860.0;1816
Waksmundzki Wierch;49.23234;20.04717;PK;2189.0;2154
Wielki Wołoszyn;49.22853;20.04906;PK;2155.0;2119
Skrajny Wołoszyn;49.23319;20.06291;PK;2092.0;2048
Wielka Koszysta;49.23545;20.04953;PK;2193.0;2156
Mała Koszysta;49.24372;20.05267;PK;2014.0;1985
Jasicowa Czuba - 1461 m npm  Tatry;49.25571;20.04202;PK;1462.0;1462
Kobyła - 1232 m npm  Tatry;49.27742;20.04451;PK;1235.0;1235
Kotlinowy Wierch - 1306 m npm  Tatry;49.27128;20.02945;PK;1301.0;1301
Wielki Kopieniec - 1328 m npm  Tatry;49.27175;20.01641;PK;1303.0;1303
Mały Kopieniec;49.27631;20.00502;PK;1167.0;1164
Wysoki Dział - 731 m npm Pieniny;49.42589;20.40457;PK;731.0;739
Nowa Góra - 902 m npm Pieniny;49.41444;20.39657;PK;868.0;868
Ociemny Wierch;49.42417;20.42753;PK;740.0;712
Góra Zamkowa - 779 m npm Pieniny;49.4191;20.42097;PK;782.0;782
Łysina - 792 m npm Pieniny;49.40937;20.42289;PK;792.0;773
Sokolica;49.41837;20.44062;MT;747.0;700
Goły Wierch - 1202 m npm Tatry;49.26734;20.09746;PK;1209.0;1209
Gęsia Szyja;49.2594;20.07705;MT;1489.0;1465
Wielka Królowa Kopa;49.25608;20.00512;PK;1530.0;1519
Kopa Magury;49.24837;20.00013;PK;1704.0;1673
Bukowina Obidowska;49.53607;20.0341;PK;1039.0;1032
Runek Hubieński;49.49355;20.25415;MTS;997.0;990
Jaworzyna;49.48424;20.35398;MT;1121.0;1110
Wielki Wierch;49.61257;20.25542;PK;1007.0;1012
Gorc;49.56522;20.25328;PK;1228.0;1222
Przysłop;49.55041;20.20397;PK;1187.0;1180
Czerwony Groń;49.56233;20.18165;PK;1071.0;1083
Gorc Troszacki;49.57367;20.18954;PK;1135.0;1225
Kopa;49.57567;20.1527;PK;1030.0;1024
Turbaczyk;49.57994;20.11494;PK;1078.0;1077
Groniki;49.55907;20.04552;PK;1027.0;1024
Suchora;49.56963;20.06723;PK;1000.0;988
Miejski Wierch;49.53192;20.0836;PK;1143.0;1137
Bukowina Waksmundzka;49.52524;20.10455;PK;1105.0;1091
Wysznia;49.52218;20.1376;PK;1107.0;1106
Borsuczyny;49.52596;20.19563;PK;1097.0;1090
Sucha;49.52596;20.15838;PK;1082.0;1078
Magurki;49.53144;20.18114;PK;1052.0;1103
Kiczora;49.53958;20.14868;PK;1282.0;1252
Jaworzyna Kamienicka;49.54775;20.15718;PK;1288.0;1280
Mostownica;49.55582;20.13058;PK;1251.0;1243
Suchy Groń;49.56653;20.10132;PK;1043.0;1046
Kopieniec;49.56604;20.11565;PK;1080.0;1081
Rozdziele;49.54972;20.09707;PK;1188.0;1179
Średni Wierch;49.54703;20.07473;PK;1112.0;1116
Solnisko;49.54603;20.08668;PK;1181.0;1171
Czoło Turbacza;49.55252;20.1148;PK;1259.0;1246
Durbaszka;49.38695;20.53568;PK;942.0;929
Szafranówka - 742 m npm Pieniny;49.41393;20.47628;PK;741.0;724
Palenica - 719 m npm Pieniny;49.41885;20.47654;PK;719.0;706
Wysoki Wierch;49.39328;20.51356;PK;898.0;884
Wysoka;49.38022;20.55548;PK;1050.0;1012
Łaźne Skały -  775 m n.p.m.  Małe Pieniny;49.40616;20.49226;PK;770.0;739
Jarmuta -  794 m n.p.m.  Małe Pieniny;49.41091;20.50609;PK;794.0;781
Jarmutka -  690 m n.p.m.  Małe Pieniny;49.41456;20.50137;PK;690.0;667
Czuprana -  777 m n.p.m.  Małe Pieniny;49.41118;20.51086;PK;777.0;754
Przechodni Wierch;49.41343;20.44624;PK;552.0;524
Facimiech;49.405;20.42788;PK;668.0;631
Groń;49.42052;20.47259;PK;687.0;679
Załazie;49.40824;20.48847;PK;733.0;729
Huściawa;49.39991;20.51293;PK;818.0;808
Homole;49.3969;20.54752;PK;726.0;710
Borsuczyny;49.38539;20.54692;PK;939.0;932
Skalskie;49.39438;20.56769;PK;789.0;765
Wroni Wierch;49.40684;20.56263;PK;640.0;626
Wierch nad Kamieniem;49.48513;20.79472;MT;1083.0;1086
Mięguszowiecki Szczyt Pośredni;49.18431;20.06417;MT;2393.0;2317
Maciejowa;49.58407;20.00329;MT;836.0;831
Bardo;49.57811;20.02507;MT;948.0;947
Jaworzyna Ponicka;49.57299;20.02936;MT;996.0;988
Kotelnica;49.49138;20.22935;MT;946.0;930
Czertez;49.42329;20.43242;PK;774.0;750
Czertezik;49.42242;20.43543;PK;772.0;753
Stajkowa;49.45566;20.44436;PK;723.0;712
Wielka Przehyba;49.46704;20.57177;MT;1191.0;1180
Złomisty Wierch;49.45992;20.57778;MT;1226.0;1218
Bukowinki;49.4539;20.58057;MT;1206.0;1212
Wielki Rogacz;49.4395;20.61078;MT;1182.0;1164
Międzyradziejówki;49.44106;20.62898;MT;1035.0;1038
Niemcowa;49.44469;20.64644;MT;1001.0;983
Kordowiec;49.46043;20.66713;MT;762.0;761
Góra Parkowa;49.41558;20.96651;MT;742.0;733
Žabia veža;49.17842;20.07674;MT;2340.0;2251
Łysa Góra;49.49922;20.03426;MT;699.0;695
Kierbag;49.48075;20.17823;MT;601.0;608
Dział;49.50175;20.02586;MT;724.0;714
Kopaliny;49.90597;20.96597;MT;394.0;396
Ostrębie;49.96382;20.91777;MT;272.0;262
Golgota;49.92487;20.86857;MT;400.0;396
Lubinka;49.91037;20.89676;MT;412.0;417
Panieńska Góra;49.92139;20.81182;MT;326.0;374
