dilation,score,better_than,total
pix_dilate,accuracy,15,46
dilate_pix,accuracy,21,46
dilate_dilate,accuracy,17,46
pix_dilate,precision,27,46
dilate_pix,precision,29,46
dilate_dilate,precision,27,46
pix_dilate,recall,31,46
dilate_pix,recall,39,46
dilate_dilate,recall,37,46
pix_dilate,f1,25,46
dilate_pix,f1,33,46
dilate_dilate,f1,31,46
