40;25;179;0;0;0;179;199
40;25;180;10;2;2;178;196
40;25;180;20;2;2;178;196
40;40;179;0;0;0;179;199
40;40;180;10;8;9;172;189
40;40;180;20;8;9;172;189
40;60;179;0;0;0;179;199
40;60;180;10;8;9;172;189
40;60;180;20;8;9;172;189
60;19;179;0;0;0;179;199
60;19;184;10;44;90;140;104
60;19;184;20;44;90;140;104
60;30;179;0;0;0;179;199
60;30;148;10;90;200;58;30
60;30;148;20;90;200;58;30
60;50;179;0;0;0;179;199
60;50;127;10;94;228;33;23
60;50;127;20;94;228;33;23
80;15;179;0;0;0;179;199
80;15;176;10;30;80;146;122
80;15;176;20;30;80;146;122
80;25;179;0;0;0;179;199
80;25;122;10;80;236;42;20
80;25;122;20;80;236;42;20
80;40;179;0;0;0;179;199
80;40;107;10;83;266;24;5
80;40;107;20;83;266;24;5
100;14;179;0;0;0;179;199
100;14;175;10;51;120;124;83
100;14;175;20;51;120;124;83
100;25;179;0;0;0;179;199
100;25;92;10;83;284;9;2
100;25;92;20;83;284;9;2
100;35;179;0;0;0;179;199
100;35;88;10;82;290;6;0
100;35;88;20;82;290;6;0
150;13;179;0;0;0;179;199
150;13;152;10;64;186;88;40
150;13;152;20;64;186;88;40
150;20;179;0;0;0;179;199
150;20;84;10;78;293;6;1
150;20;84;20;78;293;6;1
150;30;179;0;0;0;179;199
150;30;80;10;78;298;2;0
150;30;80;20;78;298;2;0
