40;20;179;0;0;0;179;199
40;20;178;10;0;1;178;199
40;20;178;20;0;1;178;199
40;30;179;0;0;0;179;199
40;30;178;10;5;8;173;192
40;30;178;20;5;8;173;192
40;45;179;0;0;0;179;199
40;45;176;10;7;12;169;190
40;45;176;20;7;12;169;190
60;17;179;0;0;0;179;199
60;17;129;10;23;86;106;163
60;17;129;20;23;86;106;163
60;27;179;0;0;0;179;199
60;27;124;10;95;224;29;30
60;27;124;20;95;224;29;30
60;42;179;0;0;0;179;199
60;42;113;10;97;242;16;23
60;42;113;20;97;242;16;23
80;14;179;0;0;0;179;199
80;14;120;10;19;88;101;170
80;14;120;20;19;88;101;170
80;24;179;0;0;0;179;199
80;24;107;10;93;251;14;20
80;24;107;20;93;251;14;20
80;40;179;0;0;0;179;199
80;40;103;10;96;263;7;12
80;40;103;20;96;263;7;12
100;13;179;0;0;0;179;199
100;13;88;10;20;133;68;157
100;13;88;20;20;133;68;157
100;27;179;0;0;0;179;199
100;27;72;10;72;305;0;1
100;27;72;20;72;305;0;1
100;40;179;0;0;0;179;199
100;40;72;10;72;306;0;0
100;40;72;20;72;306;0;0
150;10;179;0;0;0;179;199
150;10;97;10;1;86;96;195
150;10;97;20;1;86;96;195
150;22;179;0;0;0;179;199
150;22;63;10;63;315;0;0
150;22;63;20;63;315;0;0
150;30;179;0;0;0;179;199
150;30;63;10;63;315;0;0
150;30;63;20;63;315;0;0
