offset,threshold,correct,max_matches,true_positive,false_positive,true_negative,false_negative,accuracy,precision,recall,f1_score,extra_info
50,400,185,10,8,6,177,187,0.489417989417989,0.571428571428571,0.041025641025641,0.076555023923445,flann;threshold;sift;dilated_1px
50,400,185,20,8,6,177,187,0.489417989417989,0.571428571428571,0.041025641025641,0.076555023923445,flann;threshold;sift;dilated_1px
