dilation,score,better_than,total
pix_dilate,accuracy,96,7
dilate_pix,accuracy,68,7
dilate_dilate,accuracy,62,7
pix_dilate,precision,96,7
dilate_pix,precision,96,7
dilate_dilate,precision,96,7
pix_dilate,recall,96,7
dilate_pix,recall,96,7
dilate_dilate,recall,96,7
pix_dilate,f1,96,7
dilate_pix,f1,96,7
dilate_dilate,f1,96,7
